provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
PrivateVPN,EE,Estonia,202759,FAIRYHOSTING,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,FI,Finland,16302,SUOMICOMMUNICATIONS,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,GB,United Kingdom,25369,BANDWIDTH-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,GB,United Kingdom,9009,M247,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,GR,Greece,60068,CDN77 _,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,HK,Hong Kong,60068,CDN77 _,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,HR,Croatia,29485,AMIS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,HU,Hungary,9009,M247,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,ID,Indonesia,21859,ZEN-ECN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,IE,Ireland,9009,M247,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,IL,Israel,199524,GCORE,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,IM,Isle of Man,24851,UK-NETCETERA Netcetera Autonomous System Peers,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,IS,Iceland,50613,THORDC-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,KR,South Korea,199524,GCORE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,LT,Lithuania,212531,INTERNETO-VIZIJA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,LU,Luxembourg,199524,GCORE,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,LV,Latvia,20910,BALTKOM-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,MD,Moldova,43289,TRABIA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,MT,Malta,200805,MELITACABLE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,MX,Mexico,18747,IFX18747,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,MY,Malaysia,21859,ZEN-ECN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,NZ,New Zealand,136557,HOST-AS-AP Host Universal Pty Ltd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,PA,Panama,18747,IFX18747,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,PE,Peru,22411,GTD PERU S.A,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,PH,Philippines,21859,ZEN-ECN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,PT,Portugal,24768,ALMOUROLTEC,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,RO,Romania,9009,M247,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,RS,Serbia,9009,M247,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,SE,Sweden,204302,AUTO1-RIPE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,SG,Singapore,60068,CDN77 _,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
