provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
Sentinel dVPN,US,United States,401486,RAVNIX,lt-50,3,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
StrongVPN,US,United States,13737,AS-INCX,lt-50,1,lt-50,lt-50,80.0,VPN-Infrastructure-Atlas
Surfshark,US,United States,397423,TIER-NET,lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,US,United States,60068,CDN77 _,lt-50,6,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
TunnelBear,US,United States,36352,AS-COLOCROSSING,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Jantit,US,United States,204957,GREENFLOID-AS,lt-50,6,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,SI,Slovenia,25467,AKTON-AS Akton Autonomous System,lt-50,2,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Unlimited,US,United States,61138,ZAPPIE-HOST-AS Zappie Host,lt-50,3,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
VPN.ac,CA,Canada,7040,NETMINDERS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
VPNObratno,RU,Russia,12389,ROSTELECOM-AS PJSC Rostelecom. Technical Team,lt-50,6,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
WLVPN,IN,India,207990,HR-CUSTOMER,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,AL,Albania,198890,MADCOM-ASN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,CA,Canada,54133,UNMETERED,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,CY,Cyprus,15805,SKYNET-CY-AS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,CY,Cyprus,6866,CYTA-NETWORK Internet Services,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,GB,United Kingdom,58065,PACKETEXCHANGE,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,IL,Israel,35758,HQSERV_NETWORKS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,IN,India,132335,LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,LT,Lithuania,201201,DATALOGISTICS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,LV,Latvia,52048,RIXHOST,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,MD,Moldova,43289,TRABIA,lt-50,3,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,NL,Netherlands,51430,ALTUS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,TH,Thailand,56309,"SIAMDATA-TH Siamdata Communication Co.,Ltd.",lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,TW,Taiwan,3462,HINET Data Communication Business Group,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,US,United States,398779,ACEHOST,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,US,United States,40676,AS40676 - Psychz Networks,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,US,United States,46562,PERFORMIVE,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,US,United States,63023,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,US,United States,7201,AS-NETWORKEDGE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,VN,Vietnam,45899,VNPT-AS-VN VNPT Corp,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,PL,Poland,204957,GREENFLOID-AS,lt-50,3,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,HK,Hong Kong,138915,KAOPU-HK Kaopu Cloud HK Limited,lt-50,6,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Zoogvpn,RO,Romania,9009,M247,lt-50,6,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Anonine,BR,Brazil,262287,Latitude.sh LTDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,CA,Canada,54643,IDIGITAL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,CA,Canada,62563,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,CR,Costa Rica,52423,Data Miners S.A.  Racknation.cr,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,GB,United Kingdom,20860,IOMART-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,HK,Hong Kong,133398,TELE-AS Tele Asia Limited,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,KR,South Korea,45382,EHOSTIDC-AS-KR Hostcenter,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,MY,Malaysia,45839,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,NO,Norway,56655,GIGAHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,PA,Panama,51852,PLI-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,US,United States,62904,AS62904 - Eonix Corporation,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,AR,Argentina,61493,InterBS S.R.L. BAEHOST,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,HU,Hungary,214226,WEBENLET-AS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,NO,Norway,34989,SERVETHEWORLD-AS,lt-50,3,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,US,United States,0,,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,US,United States,19148,LEASEWEB-USA-PHX,lt-50,2,lt-50,lt-50,78.4,VPN-Infrastructure-Atlas
Astrill,US,United States,20454,SSASN2,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,US,United States,23470,RELIABLESITE,lt-50,3,lt-50,lt-50,78.8,VPN-Infrastructure-Atlas
Astrill,US,United States,27411,LEASEWEB-USA-CHI,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,US,United States,394380,LEASEWEB-USA-DAL,lt-50,3,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
BoxPN,BR,Brazil,262287,Latitude.sh LTDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,CA,Canada,54643,IDIGITAL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,CA,Canada,62563,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,CR,Costa Rica,52423,Data Miners S.A.  Racknation.cr,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,GB,United Kingdom,20860,IOMART-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,HK,Hong Kong,133398,TELE-AS Tele Asia Limited,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,KR,South Korea,45382,EHOSTIDC-AS-KR Hostcenter,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,MY,Malaysia,45839,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,NO,Norway,56655,GIGAHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,PA,Panama,51852,PLI-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,US,United States,62904,AS62904 - Eonix Corporation,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,AU,Australia,0,,lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,BR,Brazil,262287,Latitude.sh LTDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,CA,Canada,54643,IDIGITAL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,CA,Canada,62563,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,CR,Costa Rica,52423,Data Miners S.A.  Racknation.cr,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,FR,France,12876,Online SAS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,HK,Hong Kong,133398,TELE-AS Tele Asia Limited,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,KR,South Korea,45382,EHOSTIDC-AS-KR Hostcenter,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,MY,Malaysia,45839,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,NO,Norway,56655,GIGAHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,PA,Panama,51852,PLI-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,US,United States,62904,AS62904 - Eonix Corporation,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,US,United States,9009,M247,lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,GB,United Kingdom,20860,IOMART-AS,lt-50,4,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,RO,Romania,9009,M247,lt-50,4,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
Freedomip,FR,France,41652,SAS-SHPV-FRANCE,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
FrootVPN,BR,Brazil,262287,Latitude.sh LTDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,CA,Canada,36666,GTCOMM,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,CA,Canada,54643,IDIGITAL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,CA,Canada,62563,AS-GLOBALTELEHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,CR,Costa Rica,52423,Data Miners S.A.  Racknation.cr,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,FR,France,12876,Online SAS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,HK,Hong Kong,133398,TELE-AS Tele Asia Limited,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,KR,South Korea,45382,EHOSTIDC-AS-KR Hostcenter,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,MY,Malaysia,45839,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,NO,Norway,56655,GIGAHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,PA,Panama,51852,PLI-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,US,United States,62904,AS62904 - Eonix Corporation,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
HideIPVPN,GB,United Kingdom,20860,IOMART-AS,lt-50,5,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
Hotspotshield,GB,United Kingdom,212238,CDNEXT,lt-50,5,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,US,United States,46450,PILOT,lt-50,5,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
IPVanish,NL,Netherlands,51430,ALTUS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,AU,Australia,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,lt-50,3,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Kompot VPN,KZ,Kazakhstan,48716,PSKZ-ALA,lt-50,4,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
Kompot VPN,NL,Netherlands,209847,THE,lt-50,4,lt-50,lt-50,80.0,VPN-Infrastructure-Atlas
Kompot VPN,PL,Poland,201814,MEVSPACE,lt-50,2,lt-50,lt-50,80.0,VPN-Infrastructure-Atlas
Le VPN,LU,Luxembourg,202422,GHOST,lt-50,5,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
NordVPN,FR,France,12876,Online SAS,lt-50,5,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
NordVPN,GB,United Kingdom,58065,PACKETEXCHANGE,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,CA,Canada,174,COGENT-174,lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,DE,Germany,174,COGENT-174,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,DE,Germany,212238,CDNEXT,lt-50,3,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,ES,Spain,212238,CDNEXT,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,GB,United Kingdom,41564,AS41564,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,IT,Italy,206092,SECFIREWALLAS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,SE,Sweden,212238,CDNEXT,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,US,United States,62240,CLOUVIDER Clouvider - Global ASN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,US,United States,42201,PVDATANET,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,NL,Netherlands,215224,NOVOSERVE-CUSTOMERS-AS NovoServe Customers ASN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PureVPN,CA,Canada,7040,NETMINDERS,lt-50,2,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,GB,United Kingdom,25369,BANDWIDTH-AS,lt-50,2,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,GB,United Kingdom,3223,VOXILITY,lt-50,3,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,GB,United Kingdom,60068,CDN77 _,lt-50,4,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,US,United States,36352,AS-COLOCROSSING,lt-50,2,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
Safervpn,AT,Austria,57169,EDIS-AS-EU,lt-50,5,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,US,United States,14061,DIGITALOCEAN-ASN,lt-50,4,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CA,Canada,32489,AMANAHA-NEW,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,CA,Canada,397735,NETWIRE-INC,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,211507,"LAIN we love lain, cats and the world wide web",lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,EE,Estonia,215467,SKHRON Skhron OU: skhron.eu,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,GB,United Kingdom,213169,AS-CATIXS-AKA,lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,PE,Peru,3132,Red Cientifica Peruana,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,RO,Romania,215362,PROMO-PLUS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,SG,Singapore,142036,HOSTEONS-AS-AP Hosteons Pte. Ltd.,lt-50,4,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,SG,Singapore,149020,WEBHORIZON-AS-AP WebHorizon Internet Services,lt-50,5,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,TR,Türkiye,215155,HALIL-OMER-TEKIN,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,TR,Türkiye,42926,RADORE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,US,United States,397032,SPARKED,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,ES,Spain,203020,HOSTROYALE,lt-50,3,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,GB,United Kingdom,31708,"COREIX-UK-AS London, Great Britain",lt-50,4,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,IT,Italy,49367,ASSEFLOW,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,NL,Netherlands,60781,LEASEWEB-NL-AMS-01 Netherlands,lt-50,2,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
Trust.Zone,DE,Germany,47447,TTM,lt-50,2,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
TunnelBear,GB,United Kingdom,13213,UK2NET-AS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Jantit,NL,Netherlands,209847,THE,lt-50,5,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,SG,Singapore,59211,ONEASIAHOST OneAsiaHost,lt-50,2,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,US,United States,14061,DIGITALOCEAN-ASN,lt-50,5,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,US,United States,63023,AS-GLOBALTELEHOST,lt-50,5,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,CA,Canada,11831,ESECUREDATA,lt-50,1,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Unlimited,US,United States,63018,DEDICATED,lt-50,1,lt-50,lt-50,70.0,VPN-Infrastructure-Atlas
VPN.ac,NL,Netherlands,51430,ALTUS,lt-50,3,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
VPN.ac,SC,Seychelles,202425,INT-NETWORK,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Vpnfacile,FR,France,16276,OVH,lt-50,3,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Vpnht,AT,Austria,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Vpnht,DE,Germany,0,,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Vpnht,GB,United Kingdom,204044,ONLYSERVERS Dedicated Server Hosting Provider,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
WLVPN,NL,Netherlands,51430,ALTUS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,BR,Brazil,262287,Latitude.sh LTDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,CA,Canada,0,,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,GB,United Kingdom,20860,IOMART-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,GB,United Kingdom,25369,BANDWIDTH-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,IN,India,132335,LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,IN,India,146943,TIER4CLOU-AS Tier 4 Cloud Services,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,KR,South Korea,45382,EHOSTIDC-AS-KR Hostcenter,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,LT,Lithuania,61272,IST-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,LV,Latvia,52048,RIXHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,MY,Malaysia,55720,GIGABIT-MY Gigabit Hosting Sdn Bhd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,NL,Netherlands,60781,LEASEWEB-NL-AMS-01 Netherlands,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,PT,Portugal,59787,WEBHS WEBSP LDA,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,TH,Thailand,56067,METRABYTE-TH 453 Ladplacout Jorakhaebua,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,13445,WEBEX,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,19148,LEASEWEB-USA-PHX,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,26388,FIBERFI,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,397373,H4Y-TECHNOLOGIES,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,40676,AS40676 - Psychz Networks,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,4986,INTERSTAR,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,US,United States,7488,CNSERVER-AP-AS CNServer LLC,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,BG,Bulgaria,59729,ITL-BG,lt-50,3,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,IT,Italy,31034,ARUBA-ASN,lt-50,3,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,LV,Latvia,50979,ITL-LV,lt-50,3,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,NL,Netherlands,56594,CB-BYO-IP,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,UA,Ukraine,15626,GF-UA,lt-50,3,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,US,United States,40676,AS40676 - Psychz Networks,lt-50,3,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
AirVPN,AU,Australia,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,EE,Estonia,206804,ESTNOC-GLOBAL,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,MY,Malaysia,55720,GIGABIT-MY Gigabit Hosting Sdn Bhd,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,CA,Canada,36666,GTCOMM,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,FR,France,12876,Online SAS,lt-50,2,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Anonvpn,MU,Mauritius,0,,lt-50,4,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,AT,Austria,57169,EDIS-AS-EU,lt-50,1,lt-50,lt-50,78.5,VPN-Infrastructure-Atlas
Astrill,CA,Canada,7040,NETMINDERS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,DE,Germany,197071,ACTIVE-SERVERS active-servers.com,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,DE,Germany,30083,AS-30083-US-VELIA-NET,lt-50,3,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,DE,Germany,3214,XTOM xTom GmbH,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,DE,Germany,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,GB,United Kingdom,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,HK,Hong Kong,9304,HUTCHISON-AS-AP HGC Global Communications Limited,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,IT,Italy,49367,ASSEFLOW,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,KR,South Korea,4766,KIXS-AS-KR Korea Telecom,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,LT,Lithuania,16125,CHERRYSERVERS1-AS,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,LU,Luxembourg,9008,ASN-VO Visual Online S.A. Luxembourg,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,MD,Moldova,43289,TRABIA,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,NZ,New Zealand,9790,TWO-DEGREES-AS-AP Two Degrees Networks Limited,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,RU,Russia,3216,SOVAM-AS,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,SG,Singapore,59253,LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD.,lt-50,2,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
