operator_cluster,operator,provider_count,asn_count,country_count,observed_records_bucket,top_provider_examples,source_repo
OperatorCluster-220,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,0,1,1,lt-50,Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); Astrill (3); CactusVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-221,"SIAMDATA-TH Siamdata Communication Co.,Ltd.",0,1,1,lt-50,Windscribe (6); VPN Jantit (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-222,SKB-AS SK Broadband Co Ltd,0,1,1,lt-50,FlowVPN (3); VPN Gate (3); Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-223,VDI-NETWORK,0,1,1,lt-50,Windscribe (9),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-224,WINDSCRIBE,0,1,1,lt-50,Windscribe (9),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-225,ZAPPIE-HOST-AS Zappie Host,0,1,1,lt-50,VPN Unlimited (6); FlowVPN (1); Safervpn (1); Vpnht (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-226,1GSERVERS,0,1,1,lt-50,Sentinel dVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-227,BT-UK-AS BTnet UK Regional network,0,1,1,lt-50,NordVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-228,CONTABO,0,1,1,lt-50,Sentinel dVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-229,ENDOFFICE,0,1,1,lt-50,NordVPN (4); Astrill (2); Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-230,GLOBALHOST-BOSNIA-AS,0,1,1,lt-50,Windscribe (4); Astrill (3); ProtonVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-231,HOSTEROID,0,1,1,lt-50,Sentinel dVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-232,HSI-EUROPE,0,1,2,lt-50,Astrill (6); GhostPath (1); NetShade (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-233,ILAIT,0,1,1,lt-50,PrivateVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-234,NEWPUSH,0,1,1,lt-50,FlowVPN (7); Safervpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-235,ORACLE-BMC-31898,0,1,1,lt-50,MoriVPN (4); Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-236,RAVNIX,0,1,1,lt-50,Sentinel dVPN (8),ipanalytics/vpn-provider-overlap-intelligence
