provider,hosting_cluster,observed_records_bucket,dependency_score,dependency_class
Mullvad,HostingCluster-017,50-99,0.64,important-vpn-hosting
NordVPN,HostingCluster-017,50-99,0.64,important-vpn-hosting
Surfshark,HostingCluster-017,lt-50,0.64,important-vpn-hosting
Astrill,HostingCluster-017,lt-50,0.64,important-vpn-hosting
IPVanish,HostingCluster-017,lt-50,0.64,important-vpn-hosting
WLVPN,HostingCluster-017,lt-50,0.64,important-vpn-hosting
Privado,HostingCluster-017,lt-50,0.64,important-vpn-hosting
StrongVPN,HostingCluster-017,lt-50,0.64,important-vpn-hosting
PureVPN,HostingCluster-017,lt-50,0.64,important-vpn-hosting
ProtonVPN,HostingCluster-017,lt-50,0.64,important-vpn-hosting
Cryptostorm,HostingCluster-017,lt-50,0.64,important-vpn-hosting
IVPN,HostingCluster-017,lt-50,0.64,important-vpn-hosting
SwitchVPN,HostingCluster-017,lt-50,0.64,important-vpn-hosting
Ivacy,HostingCluster-017,lt-50,0.64,important-vpn-hosting
NordVPN,HostingCluster-018,50-99,0.55,important-vpn-hosting
Mullvad,HostingCluster-018,lt-50,0.55,important-vpn-hosting
ProtonVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
Anonine,HostingCluster-018,lt-50,0.55,important-vpn-hosting
EasyHideIP,HostingCluster-018,lt-50,0.55,important-vpn-hosting
FrootVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
BoxPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
Surfshark,HostingCluster-018,lt-50,0.55,important-vpn-hosting
Sentinel dVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
PureVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
Ivacy,HostingCluster-018,lt-50,0.55,important-vpn-hosting
AzireVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
FlowVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
PrivateVPN,HostingCluster-018,lt-50,0.55,important-vpn-hosting
ExpressVPN,HostingCluster-019,lt-50,0.60,important-vpn-hosting
WLVPN,HostingCluster-019,lt-50,0.60,important-vpn-hosting
IPVanish,HostingCluster-019,lt-50,0.60,important-vpn-hosting
Mullvad,HostingCluster-019,lt-50,0.60,important-vpn-hosting
Astrill,HostingCluster-019,lt-50,0.60,important-vpn-hosting
GhostPath,HostingCluster-019,lt-50,0.60,important-vpn-hosting
Windscribe,HostingCluster-019,lt-50,0.60,important-vpn-hosting
TunnelBear,HostingCluster-019,lt-50,0.60,important-vpn-hosting
TorGuard,HostingCluster-019,lt-50,0.60,important-vpn-hosting
SlickVPN,HostingCluster-019,lt-50,0.60,important-vpn-hosting
HideIPVPN,HostingCluster-019,lt-50,0.60,important-vpn-hosting
Getflix,HostingCluster-019,lt-50,0.60,important-vpn-hosting
IVPN,HostingCluster-019,lt-50,0.60,important-vpn-hosting
VPN.ac,HostingCluster-019,lt-50,0.60,important-vpn-hosting
Astrill,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
VPN.ac,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
Windscribe,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
Zoogvpn,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
WiTopia,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
VPN Unlimited,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
ExpressVPN,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
Sentinel dVPN,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
VPN Jantit,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
TorGuard,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
FastestVPN,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
OysterVPN,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
Hotspotshield,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
Smartdnsproxy,HostingCluster-020,lt-50,0.53,niche-vpn-hosting
EasyHideIP,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
BoxPN,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
Anonine,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
FrootVPN,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
VPN.ac,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
IVPN,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
WiTopia,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
SwitchVPN,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
HideIPVPN,HostingCluster-021,lt-50,0.53,niche-vpn-hosting
