provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
Giganews,22363,PHMGMT-AS1,1,United States,50-99,54,78.0,VPN-Infrastructure-Atlas
VyprVPN,22363,PHMGMT-AS1,1,United States,50-99,54,95.0,VPN-Infrastructure-Atlas
Surfshark,212238,CDNEXT,27,Austria; Australia; Bulgaria; Canada; Chile; Colombia; Germany; France; Greece; Hong Kong,50-99,43,95.0,VPN-Infrastructure-Atlas
NordVPN,203020,HOSTROYALE,1,India,50-99,6,95.0,VPN-Infrastructure-Atlas
Anonine,9009,M247,1,Romania,50-99,9,95.0,VPN-Infrastructure-Atlas
BoxPN,9009,M247,1,Romania,50-99,9,95.0,VPN-Infrastructure-Atlas
EasyHideIP,9009,M247,1,Romania,50-99,9,95.0,VPN-Infrastructure-Atlas
FrootVPN,9009,M247,1,Romania,50-99,9,95.0,VPN-Infrastructure-Atlas
NordVPN,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,50-99,8,95.0,VPN-Infrastructure-Atlas
PureVPN,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,lt-50,18,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,14061,DIGITALOCEAN-ASN,1,United States,lt-50,34,70.0,VPN-Infrastructure-Atlas
IPVanish,3223,VOXILITY,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
NordVPN,49453,GLOBALLAYER,1,Netherlands,lt-50,4,95.0,VPN-Infrastructure-Atlas
PureVPN,132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,1,Malaysia,lt-50,17,88.0,VPN-Infrastructure-Atlas
WLVPN,3223,VOXILITY,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
CyberGhost,51430,ALTUS,1,Netherlands,lt-50,2,71.1,VPN-Infrastructure-Atlas
WiTopia,393423,NTT-GLOBAL-DATA-CENTERS-AMERICA-INC,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
IPVanish,21859,ZEN-ECN,1,United States,lt-50,6,95.0,VPN-Infrastructure-Atlas
WLVPN,21859,ZEN-ECN,1,United States,lt-50,6,95.0,VPN-Infrastructure-Atlas
AirVPN,62744,QUINTEX,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
Privado,205467,BASEIP-LAX,1,Netherlands,lt-50,6,95.0,VPN-Infrastructure-Atlas
TunnelBear,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,1,Singapore,lt-50,33,95.0,VPN-Infrastructure-Atlas
WiTopia,0,,5,Canada; Egypt; United Kingdom; Hong Kong; Türkiye,lt-50,5,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,209847,THE,1,Netherlands,lt-50,21,70.0,VPN-Infrastructure-Atlas
IPVanish,13737,AS-INCX,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
IVPN,60068,CDN77 _,2,United Kingdom; United States,lt-50,29,95.0,VPN-Infrastructure-Atlas
Trust.Zone,9009,M247,1,Romania,lt-50,33,70.0,VPN-Infrastructure-Atlas
WLVPN,13737,AS-INCX,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
WiTopia,16276,OVH,1,France,lt-50,7,95.0,VPN-Infrastructure-Atlas
IPVanish,43350,NFORCE,1,Netherlands,lt-50,1,95.0,VPN-Infrastructure-Atlas
NordVPN,20278,NEXEON,1,United States,lt-50,9,95.0,VPN-Infrastructure-Atlas
PrivateVPN,42201,PVDATANET,9,Canada; Germany; Spain; France; India; Italy; Netherlands; Sweden; United States,lt-50,11,94.3,VPN-Infrastructure-Atlas
WLVPN,43350,NFORCE,1,Netherlands,lt-50,1,95.0,VPN-Infrastructure-Atlas
CyberGhost,61272,IST-AS,1,Lithuania,lt-50,2,73.3,VPN-Infrastructure-Atlas
ExpressVPN,212238,CDNEXT,1,United Kingdom,lt-50,17,69.1,VPN-Infrastructure-Atlas
FastestVPN,9009,M247,2,Romania; United States,lt-50,32,95.0,VPN-Infrastructure-Atlas
Goosevpn,9009,M247,1,Romania,lt-50,31,78.0,VPN-Infrastructure-Atlas
IPVanish,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,lt-50,7,95.0,VPN-Infrastructure-Atlas
IPVanish,9009,M247,1,Romania,lt-50,6,95.0,VPN-Infrastructure-Atlas
Opera VPN,205016,HERNLABS,1,Sweden,lt-50,3,70.0,VPN-Infrastructure-Atlas
WLVPN,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,Australia,lt-50,7,95.0,VPN-Infrastructure-Atlas
WLVPN,9009,M247,1,Romania,lt-50,6,95.0,VPN-Infrastructure-Atlas
WorldVPN,63473,HOSTHATCH,7,Austria; Australia; Japan; Norway; Sweden; Singapore; United States,lt-50,17,88.0,VPN-Infrastructure-Atlas
Astrill,46844,SHARKTECH,1,United States,lt-50,14,78.2,VPN-Infrastructure-Atlas
OysterVPN,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",27,Australia; Bulgaria; Canada; Switzerland; Cyprus; Czechia; Germany; European Union; FL; France,lt-50,33,95.0,VPN-Infrastructure-Atlas
Private Internet Access,174,COGENT-174,3,Canada; Germany; United States,lt-50,18,95.0,VPN-Infrastructure-Atlas
AirVPN,51815,TEKNIKBYRAN,1,Sweden,lt-50,1,95.0,VPN-Infrastructure-Atlas
Astrill,30058,FDCSERVERS,1,United States,lt-50,17,78.0,VPN-Infrastructure-Atlas
Astrill,40676,AS40676 - Psychz Networks,1,United States,lt-50,13,78.0,VPN-Infrastructure-Atlas
CyberGhost,58065,PACKETEXCHANGE,1,United Kingdom,lt-50,2,72.1,VPN-Infrastructure-Atlas
IPVanish,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,4,95.0,VPN-Infrastructure-Atlas
