provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
Sentinel dVPN,United Kingdom,100-499,81,20,100-499,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Germany,100-499,119,15,100-499,95.0,VPN-Infrastructure-Atlas
AirVPN,Canada,100-499,8,2,100-499,95.0,VPN-Infrastructure-Atlas
CyberGhost,Sweden,100-499,8,1,100-499,72.0,VPN-Infrastructure-Atlas
WiTopia,Romania,100-499,23,1,100-499,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Cyprus,100-499,29,1,100-499,70.0,VPN-Infrastructure-Atlas
Astrill,France,100-499,18,3,100-499,78.0,VPN-Infrastructure-Atlas
ExpressVPN,United Kingdom,100-499,37,7,100-499,69.6,VPN-Infrastructure-Atlas
Mullvad,Romania,50-99,50,1,50-99,95.0,VPN-Infrastructure-Atlas
PureVPN,Romania,50-99,42,1,50-99,88.0,VPN-Infrastructure-Atlas
Mullvad,Sweden,50-99,20,1,50-99,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Australia,50-99,35,1,50-99,69.7,VPN-Infrastructure-Atlas
NordVPN,India,50-99,10,3,50-99,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Romania,50-99,29,1,50-99,95.0,VPN-Infrastructure-Atlas
Giganews,United States,50-99,62,2,50-99,78.0,VPN-Infrastructure-Atlas
VyprVPN,United States,50-99,62,2,50-99,95.0,VPN-Infrastructure-Atlas
NordVPN,Brazil,50-99,8,1,50-99,95.0,VPN-Infrastructure-Atlas
OVPN,Sweden,50-99,8,3,50-99,95.0,VPN-Infrastructure-Atlas
Private Internet Access,United Kingdom,50-99,27,3,50-99,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Australia,50-99,23,3,50-99,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Türkiye,50-99,16,8,50-99,95.0,VPN-Infrastructure-Atlas
WorldVPN,Germany,50-99,46,1,50-99,88.0,VPN-Infrastructure-Atlas
NordVPN,Netherlands,50-99,5,2,50-99,95.0,VPN-Infrastructure-Atlas
PureVPN,Australia,50-99,20,3,50-99,88.0,VPN-Infrastructure-Atlas
Anonine,Romania,50-99,9,1,50-99,95.0,VPN-Infrastructure-Atlas
Astrill,Canada,50-99,15,5,50-99,78.1,VPN-Infrastructure-Atlas
BoxPN,Romania,50-99,9,1,50-99,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Romania,50-99,9,1,50-99,95.0,VPN-Infrastructure-Atlas
FrootVPN,Romania,50-99,9,1,50-99,95.0,VPN-Infrastructure-Atlas
WiTopia,France,50-99,8,2,50-99,95.0,VPN-Infrastructure-Atlas
FlowVPN,United States,lt-50,40,24,lt-50,70.0,VPN-Infrastructure-Atlas
ProtonVPN,Netherlands,lt-50,32,5,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Jantit,United States,lt-50,44,16,lt-50,88.0,VPN-Infrastructure-Atlas
BoxPN,United States,lt-50,8,3,lt-50,95.0,VPN-Infrastructure-Atlas
PureVPN,Malaysia,lt-50,17,1,lt-50,88.0,VPN-Infrastructure-Atlas
Surfshark,United States,lt-50,39,11,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,United States,lt-50,8,3,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,Netherlands,lt-50,2,1,lt-50,71.1,VPN-Infrastructure-Atlas
EasyHideIP,United States,lt-50,8,3,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,United States,lt-50,8,3,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,Netherlands,lt-50,22,2,lt-50,70.0,VPN-Infrastructure-Atlas
Windscribe,Australia,lt-50,14,2,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Netherlands,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
TunnelBear,Singapore,lt-50,33,1,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Netherlands,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
GhostPath,United States,lt-50,41,21,lt-50,88.0,VPN-Infrastructure-Atlas
Astrill,Germany,lt-50,21,7,lt-50,78.0,VPN-Infrastructure-Atlas
