provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
Anonine,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Finland,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Hungary,lt-50,4,2,lt-50,78.0,VPN-Infrastructure-Atlas
BoxPN,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,United States,lt-50,7,7,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Estonia,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
ExpressVPN,Sweden,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Vietnam,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
FrootVPN,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Goosevpn,United States,lt-50,8,2,lt-50,78.0,VPN-Infrastructure-Atlas
HideIPVPN,United Kingdom,lt-50,8,3,lt-50,70.0,VPN-Infrastructure-Atlas
Kompot VPN,Estonia,lt-50,2,1,lt-50,80.0,VPN-Infrastructure-Atlas
Kompot VPN,United States,lt-50,7,1,lt-50,80.0,VPN-Infrastructure-Atlas
Le VPN,Romania,lt-50,8,1,lt-50,70.0,VPN-Infrastructure-Atlas
Private Internet Access,Denmark,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Italy,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
PureVPN,Lithuania,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,Luxembourg,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
Sentinel dVPN,India,lt-50,5,3,lt-50,95.0,VPN-Infrastructure-Atlas
StrongVPN,India,lt-50,4,1,lt-50,83.8,VPN-Infrastructure-Atlas
StrongVPN,Romania,lt-50,3,1,lt-50,83.8,VPN-Infrastructure-Atlas
Surfshark,United Kingdom,lt-50,6,4,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,United Kingdom,lt-50,7,3,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Hong Kong,lt-50,7,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,Romania,lt-50,4,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN.ac,Iceland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPNSecure,United Kingdom,lt-50,7,5,lt-50,88.0,VPN-Infrastructure-Atlas
VPNUK,Netherlands,lt-50,8,1,lt-50,91.9,VPN-Infrastructure-Atlas
VPNUK,United States,lt-50,8,4,lt-50,88.8,VPN-Infrastructure-Atlas
Zoogvpn,France,lt-50,8,2,lt-50,78.0,VPN-Infrastructure-Atlas
Zoogvpn,Netherlands,lt-50,8,4,lt-50,78.0,VPN-Infrastructure-Atlas
Anonine,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Singapore,lt-50,3,2,lt-50,78.3,VPN-Infrastructure-Atlas
BTGuard,Netherlands,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
BoxPN,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,Switzerland,lt-50,5,3,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Hungary,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,South Korea,lt-50,6,3,lt-50,70.0,VPN-Infrastructure-Atlas
FrootVPN,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Getflix,United States,lt-50,7,5,lt-50,78.0,VPN-Infrastructure-Atlas
IPVanish,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Netherlands,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
Kompot VPN,United Kingdom,lt-50,5,2,lt-50,80.0,VPN-Infrastructure-Atlas
MoriVPN,United States,lt-50,7,3,lt-50,80.0,VPN-Infrastructure-Atlas
NordVPN,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PhantomPeer,United States,lt-50,7,1,lt-50,88.0,VPN-Infrastructure-Atlas
Private Internet Access,Spain,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Georgia,lt-50,6,3,lt-50,95.0,VPN-Infrastructure-Atlas
SlickVPN,United States,lt-50,7,7,lt-50,88.0,VPN-Infrastructure-Atlas
Trust.Zone,Canada,lt-50,6,3,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Jantit,Indonesia,lt-50,5,3,lt-50,88.0,VPN-Infrastructure-Atlas
WLVPN,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,France,lt-50,7,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Hong Kong,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,Hong Kong,lt-50,7,2,lt-50,78.0,VPN-Infrastructure-Atlas
uVPN,France,lt-50,7,1,lt-50,70.0,VPN-Infrastructure-Atlas
Anonine,Türkiye,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Bulgaria,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Israel,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
BoxPN,Türkiye,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Netherlands,lt-50,5,5,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Türkiye,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,Italy,lt-50,6,4,lt-50,70.0,VPN-Infrastructure-Atlas
FrootVPN,Türkiye,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
GhostPath,Australia,lt-50,6,3,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Canada,lt-50,6,3,lt-50,88.0,VPN-Infrastructure-Atlas
Kompot VPN,Netherlands,lt-50,5,2,lt-50,80.0,VPN-Infrastructure-Atlas
Private Internet Access,Estonia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Finland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Japan,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Netherlands,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Canada,lt-50,4,3,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PureVPN,European Union,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,Seychelles,lt-50,4,1,lt-50,88.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Egypt,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Moldova,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Ukraine,lt-50,4,4,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Canada,lt-50,6,3,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Spain,lt-50,4,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,France,lt-50,4,4,lt-50,95.0,VPN-Infrastructure-Atlas
Trust.Zone,Bulgaria,lt-50,6,3,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Jantit,Philippines,lt-50,5,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Singapore,lt-50,3,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,Germany,lt-50,3,2,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Unlimited,United Kingdom,lt-50,6,2,lt-50,70.0,VPN-Infrastructure-Atlas
Windscribe,Israel,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,India,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,South Korea,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Lithuania,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Latvia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Moldova,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Netherlands,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Taiwan,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,Poland,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,Romania,lt-50,6,1,lt-50,78.0,VPN-Infrastructure-Atlas
Anonine,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Finland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,United States,lt-50,5,4,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Argentina,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Greece,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Norway,lt-50,3,1,lt-50,78.0,VPN-Infrastructure-Atlas
BoxPN,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Finland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Finland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,United Kingdom,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,Hong Kong,lt-50,5,3,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Romania,lt-50,4,1,lt-50,70.0,VPN-Infrastructure-Atlas
Freedomip,France,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
FrootVPN,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Finland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
GhostPath,Netherlands,lt-50,4,4,lt-50,88.0,VPN-Infrastructure-Atlas
HideIPVPN,United States,lt-50,5,4,lt-50,70.0,VPN-Infrastructure-Atlas
IVPN,Canada,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
KevinVPN,United Kingdom,lt-50,4,2,lt-50,70.0,VPN-Infrastructure-Atlas
Kompot VPN,Kazakhstan,lt-50,4,1,lt-50,70.0,VPN-Infrastructure-Atlas
Kompot VPN,Poland,lt-50,2,1,lt-50,80.0,VPN-Infrastructure-Atlas
Le VPN,Luxembourg,lt-50,5,1,lt-50,70.0,VPN-Infrastructure-Atlas
NordVPN,France,lt-50,5,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Germany,lt-50,3,2,lt-50,92.2,VPN-Infrastructure-Atlas
PureVPN,Canada,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
Safervpn,Austria,lt-50,5,1,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,United Arab Emirates,lt-50,4,3,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Peru,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Poland,lt-50,5,2,lt-50,95.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Netherlands,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
SwitchVPN,Italy,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
SwitchVPN,Netherlands,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
Trust.Zone,Germany,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
TunnelBear,United Kingdom,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Jantit,Netherlands,lt-50,5,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN.ac,Seychelles,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Vpnfacile,France,lt-50,3,1,lt-50,78.0,VPN-Infrastructure-Atlas
Vpnht,Austria,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
WiTopia,Brazil,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Latvia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Netherlands,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Portugal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,Bulgaria,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Italy,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Latvia,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Ukraine,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
AirVPN,Australia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,Estonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonvpn,Mauritius,lt-50,4,0,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Austria,lt-50,1,1,lt-50,78.5,VPN-Infrastructure-Atlas
Astrill,Italy,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Luxembourg,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Moldova,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,New Zealand,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Russia,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Sweden,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
AzireVPN,Netherlands,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
CCrypto VPN,France,lt-50,4,1,lt-50,88.0,VPN-Infrastructure-Atlas
CactusVPN,Canada,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,United Kingdom,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Germany,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Argentina,lt-50,4,2,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Austria,lt-50,4,3,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Czechia,lt-50,4,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Russia,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
Froot,Canada,lt-50,4,4,lt-50,78.0,VPN-Infrastructure-Atlas
Froot,United States,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
GhostPath,Germany,lt-50,4,3,lt-50,88.0,VPN-Infrastructure-Atlas
KevinVPN,Netherlands,lt-50,3,3,lt-50,70.0,VPN-Infrastructure-Atlas
Le VPN,Austria,lt-50,4,1,lt-50,70.0,VPN-Infrastructure-Atlas
LimeVPN,United States,lt-50,4,4,lt-50,70.0,VPN-Infrastructure-Atlas
Mullvad,Canada,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
NordVPN,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
NordVPN,Germany,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Australia,lt-50,4,2,lt-50,91.5,VPN-Infrastructure-Atlas
PrivateVPN,France,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Netherlands,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Poland,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
PureVPN,Albania,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,India,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,Moldova,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,Netherlands,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
RedShield VPN,Romania,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
Riseup VPN,United States,lt-50,4,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Argentina,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Russia,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Taiwan,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Uruguay,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Smartdnsproxy,United Kingdom,lt-50,4,3,lt-50,78.0,VPN-Infrastructure-Atlas
StrongVPN,Estonia,lt-50,1,1,lt-50,83.8,VPN-Infrastructure-Atlas
Surfshark,Belgium,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Germany,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,India,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Italy,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Poland,lt-50,4,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Portugal,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Jantit,Germany,lt-50,4,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Thailand,lt-50,4,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,Italy,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN.ac,Singapore,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPNSTunnel,United States,lt-50,4,1,lt-50,88.0,VPN-Infrastructure-Atlas
WiTopia,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Hong Kong,lt-50,1,0,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Iceland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Russia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,Vietnam,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Bosnia and Herzegovina,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,Australia,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Finland,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
AnonymousVPN,Ukraine,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Bosnia and Herzegovina,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Brazil,lt-50,1,1,lt-50,78.7,VPN-Infrastructure-Atlas
Astrill,Denmark,lt-50,3,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Estonia,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Ireland,lt-50,1,1,lt-50,78.7,VPN-Infrastructure-Atlas
Astrill,Panama,lt-50,3,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Pakistan,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Portugal,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Slovakia,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Ukraine,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Vietnam,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,South Africa,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
AzireVPN,Norway,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,Vanuatu,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Albania,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
ExpressVPN,Lithuania,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Germany,lt-50,3,3,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Georgia,lt-50,2,2,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Lithuania,lt-50,3,3,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Philippines,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Ukraine,lt-50,3,2,lt-50,70.0,VPN-Infrastructure-Atlas
FreeVPN,Netherlands,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Czechia,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,France,lt-50,3,3,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Russia,lt-50,3,2,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Sweden,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Singapore,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
Goosevpn,Netherlands,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
HideIPVPN,Netherlands,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
IVPN,Estonia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Malaysia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Panama,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Canada,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Estonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,United Kingdom,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,United Kingdom,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
KeyDrop,United Arab Emirates,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
Mullvad,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Mullvad,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
NordVPN,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,European Union,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,India,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Japan,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Proxpn,Mauritius,lt-50,2,0,lt-50,78.0,VPN-Infrastructure-Atlas
Safervpn,Canada,lt-50,3,1,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Cyprus,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Kazakhstan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Malaysia,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Norway,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Sweden,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
SmartVPN,Canada,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
SmartVPN,United States,lt-50,3,1,lt-50,88.0,VPN-Infrastructure-Atlas
StrongVPN,Malaysia,lt-50,1,1,lt-50,85.0,VPN-Infrastructure-Atlas
StrongVPN,Netherlands,lt-50,1,1,lt-50,85.0,VPN-Infrastructure-Atlas
Trust.Zone,France,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,United States,lt-50,3,3,lt-50,70.0,VPN-Infrastructure-Atlas
TunnelBear,Netherlands,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Gate,Russia,lt-50,3,3,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Gate,Thailand,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Jantit,Hungary,lt-50,3,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Luxembourg,lt-50,3,2,lt-50,88.0,VPN-Infrastructure-Atlas
